# Multi-domain probe set for α/β sweep. One input per line.
# Format: category<TAB>reading<TAB>expected_surface
# Exact-match on expected_surface is the primary metric; top-3 inclusion is
# secondary. When the target is ambiguous (multiple valid surfaces) we
# pick one as the reference and note the category as "choice" — those
# are filtered out of strict EM but kept for top-3 analysis.

# ---- general: everyday conversation ----
general	きょうはいいてんきだ	今日はいい天気だ
general	あしたもきっとはれる	明日もきっと晴れる
general	ともだちとしょくじした	友達と食事した
general	えきでまちあわせしよう	駅で待ち合わせしよう
general	いぬをさんぽにつれてった	犬を散歩に連れてった
general	あたらしいくるまをかった	新しい車を買った
general	けさはやくおきた	今朝早く起きた
general	ゆうごはんをたべおわった	夕ご飯を食べ終わった
general	らいしゅうはいそがしい	来週は忙しい
general	でんわをかけなおします	電話をかけ直します
general	もういちどおねがいします	もう一度お願いします
general	あのみせのらーめんはおいしい	あの店のラーメンは美味しい
general	ほっかいどうにりょこうにいく	北海道に旅行に行く
general	こどもたちがあそんでいる	子供たちが遊んでいる
general	つかれたからねる	疲れたから寝る
general	あめがふりそうだ	雨が降りそうだ
general	ねつがあるからやすむ	熱があるから休む
general	おはようございます	おはようございます
general	ありがとうございました	ありがとうございました
general	しつもんがあります	質問があります

# ---- tech: software/IT jargon ----
tech	みっともなにほんしゅうせいする	git に本修正する
tech	うぇぶあぷりのばっくえんどをしゅうせいした	ウェブアプリのバックエンドを修正した
tech	でーたべーすのすきーまをへんこうする	データベースのスキーマを変更する
tech	あぷりけーしょんをさいきどうしてください	アプリケーションを再起動してください
tech	めもりりーくのげんいんをちょうさする	メモリリークの原因を調査する
tech	こうかんせいをいじしたい	互換性を維持したい
tech	かいはつかんきょうをこうちくする	開発環境を構築する
tech	ぷっしゅすればじどうでびるどされる	プッシュすれば自動でビルドされる
tech	あぷろーどしたぞうをかくにんしてください	アップロードした画像を確認してください
tech	ひょうじゅんにゅうしゅつりょくをりだいれくとする	標準入出力をリダイレクトする
tech	うんてぃんぐてすとがしっぱいした	ユニットテストが失敗した
tech	きのうしじゅんをみたすために	機能仕様を満たすために
tech	がいぶえーぴーあいのにんしょうをじっそうする	外部APIの認証を実装する
tech	にんめいくうかんをわけてかんりする	名前空間を分けて管理する
tech	ひゃくみりびょうでおうとうする	百ミリ秒で応答する
